key,value,reference value,description
sub_next_estimate_summary.final_estimate.description,,Total,
account_hierarchy.forwarded.note,,You're receiving this email because you are paying for this customer's subscriptions and charges,
sub_scheduled_changes.changes_scheduled_on.next_renewal,,Changes take place on next renewal,
sub_scheduled_changes.changes_scheduled_on.description,,Changes take place on %{scheduled_at},
sub_details_card.metered_item.units,,Units,
discount_details_field.duration.one_time,,one-time,
download_attachments_note.message,,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,,You are receiving this email as you are the parent of this customer.,
discount_details_field.description.off_item,,%{value} off %{target},
account_hierarchy.child_email.forwarded.note,,Invoice payments are handled by your parent account.,
sub_next_estimate_summary.taxes.incl_disclaimer,,inclusive of taxes %{tax_total},
invoice_details_card.download_link.text,,Download and view all invoices,
sub_details_card.metered_item.footnote,,Quantity may vary based on usage during the billing period.,
sub_next_estimate_summary.taxes.description,,Taxes,
discount_details_field.description.off_invoice_total,,%{value} off the invoice total,
invoice_details_card.download_link.warning_msg,,This link will expire in 7 days.,
sub_next_estimate_summary.discounts.description,,Discounts,
card_offline_pm.instruction.text,,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
discount_details_field.duration.limited_period.apply_till,,until %{apply_till},
sub_next_estimate_summary.charges.description,,Amount,
discount_details_field.duration.forever,,forever,
download_attachments_note.link_text,,Download,
discount_details_field.duration.limited_period.for_period,,for %{period_desc},
