key,value,reference value,description
hp_v3.bank_based_payments.owner_name,,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.payment_method.common_error,,An error occurred while processing your request. Choose a different payment method or try again.,An error occurred while processing your request. Choose a different payment method or try again.
hp_v3.pm.agreement.checkout_com_sepa,,"By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.portal.edit_subscription.pm_absent.warning,,You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.ach.setup,,Set up ACH,Set up ACH
hp_v3.direct_debit.sort_code,,Sort Code,Sort Code
hp_v3.pm.ideal_disclaimer,,"<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Do not exit until you get a payment confirmation message.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li><li>If you’re on a mobile device, you are sometimes taken to a different browser after payment authentication. Make sure you return to this browser to complete payment.</li>",iDEAL disclaimer
hp_v3.portal.metered_subscription.desc_without_amount,,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.paynow.use_card_future_payments.info,,You can use this payment method for your future transactions.,Info while saving this card for future payments
hp_v3.portal.gateway_error,,Cannot proceed without a valid gateway account,Cannot proceed without a valid gateway account
hp_v3.portal.no_account,,Looks like you don’t have an account with us,No account
hp.payment_confirmation_page.message_desc_redirect_confirmation,,If you aren't redirected to a confirmation page check the tab from which you initiated payment,If you aren't redirected to a confirmation page check the tab from which you initiated payment
hp_v3.direct_debit.upi_id,,UPI ID,UPI ID
hp_v3.inapp_checkout.card_expiring,,is expiring,card about to expire
hp_v3.common.copy,,Copy,Copy
hp_v3.inapp_checkout.pm.direct_debit,,Direct Debit,Direct Debit
hp_v3.portal.more_billing_history,,Load More,Load more history of billing
hp_v3.pm.ideal_desc,,recurring via SEPA Direct Debit,iDEAL desc
hp_v3.direct_debit.authorisation_code,,Authorisation code,Authorisation code
hp_v3.direct_debit.phone,,Phone,Phone
hp_v3.portal.term.months,,months,months
hp_v3.pm.agreement.gocardless_payment_cancellation,,This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.,This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.
hp_v3.pm.netbanking,,Netbanking,Netbanking
hp_v3.direct_debit.swedish_id,,Swedish Identity Number,Swedish Identity Number
hp_v3.portal.metered_item.usage_tooltip,,Charges are calculated based on usage. Last usage update was on {{date}},Metered item usage tooltip content
hp_v3.portal.metered_subscription.unbilled_usage_disclaimer,,Unbilled usage charges from your previous subscription will be charged in the upcoming billing cycle.,Unbilled usages disclaimer for a subscription in portal
hp_v3.portal.pm.ach,,ACH,ACH
hp_v3.direct_debit.pending_verification,,Pending verification,Pending verification
hp_v3.paynow.override_billing_profile,,Charge recurring payments for this subscription to this payment method,Charge recurring payments for this subscription to this payment method
hp_v3.inapp_checkout.term.days,,days,days
hp_v3.portal.metered_subscription.desc_with_amount,,Charges based on usage till date,Metered subscription description in portal with total charges
hp_v3.inapp_checkout.cart.item_text,,items,items
hp_v3.portal.switch_account,,Use a different account,Switch Account in portal
hp_v3.portal.cart.discounts.applied,,discount applied,discount applied
hp_v3.portal.gocardless_redirect,,Please pay securely via GoCardless in the new window we opened.,Please pay securely via GoCardless in the new window we opened.
hp_v3.inapp_checkout.invalid_email,,Invalid email,Invalid email
hp_v3.paynow.billing_period,,Billing period,Billing period
hp_v3.discount.tooltip_message,,Discount was applied by the seller and cannot be removed,discount tooltip message
hp_v3.inapp_checkout.vat,,Please Enter your VAT Number,Enter VAT Number
hp_v3.incl_tax.txt,,Incl tax," The displayed amount is inclusive of tax"
hp_v3.portal.invalid,,Invalid,card has expired
hp_v3.portal.term.weekly,,weekly,weekly
hp_v3.pm.agreement.gocardless.contact,,For queries call us <b>%{merchant_phone}</b> or email us at <b>%{merchant_email}</b>,For queries call us %{merchant_phone} or email us at %{merchant_email}
hp_v3.inapp_checkout.select_field_default,,Pick an option,select fields default prompt
hp_v3.direct_debit.gocardless_bacs.protected_prefix,,Your payments are protected by,Your payments are protected by
hp_v3.pm.agreement.gocardless_ach1,,%{name} authorizes %{merchant_name} to debit the bank account indicated in accordance with the goods or services provided by %{merchant_name}.,%{name} authorizes %{merchant_name} to debit the bank account indicated in accordance with the goods or services provided by %{merchant_name}.
hp_v3.pm.agreement.gocardless_ach2,,"Details of specific payments will be provided via email notification, 2 days prior to any payments being taken.","Details of specific payments will be provided via email notification, 2 days prior to any payments being taken."
hp_v3.portal.coupon_error,,Invalid Coupon Code,Invalid Coupon Code
hp_v3.pm.agreement.gocardless_ach3,,By clicking next you confirm to set up an ACH Debit Authorization using the details above.,By clicking next you confirm to set up an ACH Debit Authorization using the details above.
hp_v3.direct_debit.gocardless_bacs.confirmation_text,,"By clicking '%{proceed_to_review}', I confirm that I am the account holder and am authorized to set up Direct Debit payments on this account.","By clicking '%{proceed_to_review}', I confirm that I am the account holder and am authorized to set up Direct Debit payments on this account."
hp_v3.inapp_checkout.ending,,ending,Ending 1111
hp_v3.portal.term.days,,days,days
hp_v3.inapp_checkout.term.month,,month,month
hp_v3.portal.term.years,,years,years
hp_v3.paynow.payment_overdue,,payment pending,payment pending
hp_v3.pm.dotpay,,Dotpay,Dotpay name
hp_v3.pm.sofort,,Sofort,Sofort name
hp_v3.portal.term.month,,month,month
hp_v3.secure_checkout_message,,Secure Checkout,Checkout is secured by chargebee
hp_v3.pm.agreement.gocardless_pad_title,,Pre-Authorized Debit Agreement,Pre-Authorized Debit Agreement
hp_v3.direct_debit.routing_number,,Routing Number,Routing Number
hp_v3.portal.subscription_edit,,Click to edit subscription details,Click to edit subscription details
hp_v3.direct_debit.prefix,,Prefix,Prefix
hp_v3.pm.agreement.stripe_bacs,,"I understand that %{merchant_name} has partnered with Stripe, who collects Direct Debits on behalf of %{merchant_name} and confirm that I am the account holder and the only person required to authorize debits from this account.",
hp_v3.inapp_checkout.url_error,,Invalid Url,Requested Url is not valid
