key,value,reference value,description
account.first_name.label,First Name,First Name,
account.first_name.help,,,
account.last_name.label,Last Name,Last Name,
account.last_name.help,,,
account.email.label,Email,Email,
account.email.help,,,
account.company.label,Company,Company,
account.company.help,,,
account.phone.label,Phone,Phone,
account.phone.help,,,
billing.first_name.label,First Name,First Name,
billing.first_name.help,,,
billing.last_name.label,Last Name,Last Name,
billing.last_name.help,,,
billing.email.label,Email,Email,
billing.email.help,,,
billing.phone.label,Phone,Phone,
billing.phone.help,,,
billing.company.label,Company,Company,
billing.company.help,,,
billing.line1.label,Address Line1,Address Line1,
billing.line1.help,,,
billing.line2.label,Address Line2,Address Line2,
billing.line2.help,,,
billing.line3.label,Address Line3,Address Line3,
billing.line3.help,,,
billing.city.label,City,City,
billing.city.help,,,
billing.zip.label,Zip,Zip,
billing.zip.help,,,
billing.country.label,Country,Country,
billing.country.help,,,
billing.region.label,State,State,
billing.region.help,,,
billing.state_code.label,,State,
billing.state_code.help,,,
tax.vat_number.label,VAT Number,VAT Number,
tax.vat_number.help,Enter VAT number,,
tax.registered_for_gst.label,I have registered for GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,First Name,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Last Name,Last Name,
shipping.last_name.help,,,
shipping.email.label,Email,Email,
shipping.email.help,,,
shipping.phone.label,Phone,Phone,
shipping.phone.help,,,
shipping.company.label,Company,Company,
shipping.company.help,,,
shipping.line1.label,Address Line 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Address Line 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Address Line 3,Address Line3,
shipping.line3.help,,,
shipping.city.label,City,City,
shipping.city.help,,,
shipping.zip.label,Zip,Zip,
shipping.zip.help,,,
shipping.country.label,Country,Country,
shipping.country.help,,,
shipping.region.label,State,State,
shipping.region.help,,,
shipping.state_code.label,,State,
shipping.state_code.help,,,
gift.first_name.label,First Name,First Name,
gift.first_name.help,,,
gift.last_name.label,Last Name,Last Name,
gift.last_name.help,,,
gift.email.label,Email,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,Whom should we say it&#39;s from,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Date,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Time,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,First Name,First Name,
card.first_name.help,,,
card.last_name.label,Last Name,Last Name,
card.last_name.help,,,
card.number.label,Card Number,Number,
card.number.help,,,
card.expiry.label,Expiry,Expiry,
card.expiry.help,,,
card.expiry_year.label,,Expiry,
card.expiry_year.help,,,
card.cvv.label,CVV,Cvv,
card.cvv.help,3 or 4 digit verification number on your card,,
card.billing_addr1.label,Address Line1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Address Line2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,City,City,
card.billing_city.help,,,
card.billing_zip.label,Zip,Zip,
card.billing_zip.help,,,
card.billing_country.label,Country,Country,
card.billing_country.help,,,
card.billing_region.label,State,State,
card.billing_region.help,,,
card.billing_state_code.label,,State,
card.billing_state_code.help,,,
