key,value,reference value,description
card_orders.order.id,Bestillings-ID,Order ID,
card_orders_shipping_address.address.orders_shipping_address,Leveringsadresse,Shipping Address,
button.retarget_hp_url,Fullfør kjøpet ditt,Complete Your Purchase,
button.reset_password,Tilbakestill passord,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Nåværende syklus,Current Cycle,
button.portal_verify_email,Bekreft e-postadresse,Verify Email Address,
card_invoices.title,Dine fakturaer,Your Invoices,
button.click_here,Klikk Her,Click Here,
card_contract_terms.contract_term.billing_cycle,Totale faktureringssykluser,Total Billing Cycles,
card_offline_pm.subscriptions.offline_pm_instruction,Tilleggsdetaljer,Additional details,
card_gift_message.title,Her er en personlig melding til deg.,Here's a personal message for you,
card_orders.order.shipping_date,Forsendelsesdato,Shipment date,
button.update_address_and_payment_method,Oppdater adressen og betalingsmetoden,Update the Address and Payment Method,
card_contract_terms.contract_term.contract_period,Kontraktsperiode,Contract Period,
card_orders.title,Din bestilling,Your order,
card_customer.customer.id,ID,ID,
button.update_payment_method,Oppdater betalingsmetode,Update Payment Method,
button.extend_subscription,Forleng abonnementet,Extend Subscription,
button.payment_voucher,Betalingsbevis,Payment Voucher,
card_contract_terms.contract_term.total_contract_value_before_tax,Total kontraktsverdi før skatt,Total Contract Value Before Tax,
card_addresses.billing_address.full_billing_address,Fakturaadresse,Billing Address,
button.pay_now,Betal nå,Pay Now,
button.claim_gift,Krev gave,Claim Gift,
card_orders.order.shipment_carrier,Fraktbærer,Shipment carrier,
card_offline_pm.subscriptions.selected_offline_pm,Valgt betalingsmetode,Selected payment method,
card_orders.order.batch_id,Batchid,Batchid,
card_recurring_items.title,Ditt abonnement,Your Subscription,
card_contract_terms.contract_term.termination_fee,Oppsigelsesgebyr,Termination fee,
card_customer.title,Dine detaljer,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,Leveringsadresse,Shipping Address,
card_orders.order.amount,Bestillingsbeløp,Order Amount,
card_hp_order_items.title,Varer i din bestilling:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,Ved semesteravslutning,At Term-End,
card_orders.order.tracking_id,Sporings-ID,Tracking id,
card_recurring_items.subscription.po_number,PO-nummer,PO Number,
card_orders.order.note,Merk,Note,
card_contract_terms.title,Kontraktsdetaljer,Contract details,
card_contract_terms.contract_term.total_contract_value,Total kontraktsverdi,Total Contract Value,
