key,value,reference value,description
subscription_pause_reminder.subscription.resume_date,Gjenoppta dato,Resume date,
subscription_changed_all_other_changes.subscription.next_estimate_amount,Anslått kostnad ved fornyelse,Estimated charge on renewal,
welcome_mails_in_future_state.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,Betalingsmetode,Payment method,
payments_and_credits_successful_recurring_payments.transaction.date,Betalingsdato,Payment date,
payment_one_time_failures.transaction.amount,Fakturert beløp,Invoiced amount,
subscription_paused.subscription.resume_date,Gjenoppta dato,Resume date,
payments_and_credits_refunded.transaction.date,Refundert på,Refunded on,
payments_and_credits_successful_payment.transaction.amount,Fakturert beløp,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
gift_cancelled.gift.scheduled_at,Varsle på,Notify on,
payments_and_credits_payment_initiated.transaction.date,Betalingsdato,Payment date,
subscription_changed_all_other_changes.customer_balance.unused_payments,Overskytende betalinger,Excess payments,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,Fakturert beløp,Invoiced amount,
future_subscription_reminders.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,Avbestillingsgrunn,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,Total kontraktsverdi,Total Contract Value,
welcome_mails_in_trial_state.subscription.next_estimate_amount,Anslått kostnad ved aktivering,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,Gjenoppta dato,Resume date,
payment_dunning_profiles_for_one_time_invoices.transaction.date,Tidligere forsøk på belastning,Previous charge attempted on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,Egenandeler,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,Betalingsmetode,Payment method,
payment_authorization_succeeded.transaction.amount,Autorisert beløp,Authorized amount,
payment_one_time_failures.customer_payment_method.info,Betalingsmetode,Payment method,
chargeback_not_paid.transaction.date,Betalingsdato,Payment date,
subscription_paused.subscription.pause_date,Pause dato,Pause date,
payment_method_expiry_invalidated_notification.customer_payment_method.info,Betalingsmetode,Payment method,
direct_debit_payment_reminder_for_pad.transaction.statement_descriptor,Betalinger vil vises på bankutskriften din som,"Payments will appear in your bank statement as ",
welcome_mails_in_trial_state.subscription.trial_end,Prøveperioden avsluttes på,Trial ends on,
trial_expiry_reminders.subscription.next_estimate_amount,Anslått kostnad ved aktivering,Estimated charge on activation,
contract_is_renewed.subscriptions.subscribed_to,Abonnementssammendrag,Subscription summary,
future_subscription_reminders.subscription.start_date,Abonnementet starter den,Subscription starts on,
trial_started_for_future_subscriptions.subscription.trial_end,Prøveperioden avsluttes på,Trial ends on,
contract_is_terminated.contract_term.contract_period,Kontraktsperiode,Contract Period,
coupon_expiry_reminder.subscription.next_estimate_amount,Estimert belastning ved utløp av kupong,Estimated charge on coupon expiry,
chargeback_not_paid.invoice.amount,Fakturert beløp,Invoiced amount,
order_shipment_reminder.order.id,Bestillings-ID,Order ID,
contract_is_renewed.contract_term.billing_cycle,Totale faktureringssykluser,Total Billing Cycles,
