key,value,reference value,description
enum.credit_note_base.reason_code.name.chargeback,Tilbakeføring,Chargeback,Can be set when you are recording your customer Chargebacks
enum.public_card_error_code.name.paypal_general_err,Vi har støtt på et problem mens vi prøvde å få tilgang til din PayPal-konto,We've encountered a problem while accessing your paypal account.,We've encountered a problem while accessing your paypal account.
enum.invoice_base.status.name.posted,Postet,Posted,Indicates the payment is not yet collected and will be in this state till the due date to indicate the due period
enum.payment_method_base.type.name.paypal_express_checkout,Paypal Express Checkout,Paypal Express Checkout,Payments made via PayPal Express Checkout.
enum.transaction_base.payment_method.name.boleto,boleto,boleto,boleto
enum.credit_card_base.card_type.name.tarjeta_naranja,Oransje Kort,Tarjeta Naranja,A Tarjeta Naranja card.
enum.discount_base.duration_type.name.limited_period,Begrenset periode,Limited Period,The discount is attached to the subscription and applied on the invoices for a limited duration. This duration starts from the point it is applied to an invoice for the first time and expires after a period specified by <code>period</code> and <code>period_unit</code>.
enum.line_item_base.type.name.coupon_credit,Kupongkreditt,Coupon Credit,Coupon Credit
enum.tax_reg_number_base.label.name.gstin,GSTIN,GSTIN,GSTIN
enum.transaction_base.payment_method.name.automated_bank_transfer,Automatisert bankoverføring,Automated Bank Transfer,Automated Bank Transfer <span isMicro='true' featureId='cb-bank-transfer'></span>
enum.discount_base.duration_type.name.forever,For alltid,Forever,"The discount is attached to the subscription and applied on the invoices till it is <a href=""/docs/api/subscriptions?prod_cat_ver=2#update_subscription_for_items_discounts_operation_type"">explicitly removed</a>."
enum.payment_method_base.type.name.card,Kort,Card,Card based payment including credit cards and debit cards. Details about the card can be obtained from the card resource.
enum.line_item_base.type.name.addon_item_price,Tilleggsartikkel Pris,Addon Item Price,Addon Item Price
enum.quote_base.status.name.approved,Godkjent,Approved,Approved.
enum.public_card_error_code.name.amz_agreement_declined,Den valgte betalingsmetoden din på Amazon ble avvist. Vennligst oppdater den og prøv igjen,Your selected payment method in amazon was declined. Please update it and try again.,Your selected payment method in amazon was declined. Please update it and try again.
enum.credit_card_base.card_type.name.hipercard,Hipercard,Hipercard,An Hipercard.
enum.transaction_failure_reason.name.card_barred,Mistet / Stengt / Blokkert Kort,Lost / Closed / Blocked Card,Lost / Closed / Blocked Card
enum.credit_card_base.card_type.name.nativa,Nativa,Nativa,A Nativa card.
enum.line_item_base.type.name.fractional_correction,Fraksjonell korreksjon,Fractional Correction,Fractional Correction
enum.transaction_base.payment_method.name.klarna_pay_now,Klarna Betal Nå,Klarna Pay Now,Klarna Pay Now <span isMicro='true' featureId='cb-klarna-pay-now'></span>
enum.contract_term_base.action_at_term_end.name.evergreen,Kontrakten avsluttes,"Contract ends, subscription continues to renew",Contract term completes and the subscription renews.
enum.credit_card_base.card_type.name.elo,Elo,Elo,A Elo card.
enum.bank_account_base.account_type.name.checking,Kontrollerer.,Checking,Checking Account
enum.invoice_customization_base.cn_title.name.credit_note,KREDITTNOTA,CREDIT NOTE,CREDIT NOTE
enum.transaction_base.payment_method.name.app_store,App Store,App Store,App Store
enum.credit_card_base.card_type.name.other,Annen.,Other,Card belonging to types other than those listed above.
enum.credit_note_base.reason_code.name.fraudulent,SVINDELAKTIG,FRAUDULENT,FRAUDULENT
enum.credit_note_base.reason_code.name.service_unsatisfactory,Tjenesten er utilfredsstillende,Service Unsatisfactory,Service Unsatisfactory
enum.transaction_failure_reason.name.fraud,Svindelkort,Fraud card,Fraud card
enum.pricing_model.name.tiered,Trinnvis,Tiered,The per unit price is based on the tier that the total quantity falls in.
enum.credit_card_base.card_type.name.not_applicable,Ikke aktuelt,Not Applicable,Used for offline entries in transactions. Not applicable for cards
enum.item_price_base.period_unit.name.month,Måned,Month,A period of 1 calendar month.
enum.line_item_base.type.name.credit_adjustments,Kredittjusteringer,Credit Adjustments,Credit Adjustments
enum.transaction_failure_reason.name.contact_details_required,Ugyldige kontaktinformasjon,Invalid Contact details,Invalid Contact details
enum.credit_note_base.status.name.voided,Annullert,Voided,When the Credit Note has been cancelled.
enum.transaction_base.payment_method.name.faster_payments,Raskere Betalinger,Faster Payments,Faster Payments <span isMicro='true' featureId='cb-faster-payments'></span>
enum.plan_base.trial_period_unit.name.day,Dag,Day,In days
enum.credit_card_base.card_type.name.visa,Visum,Visa,A Visa card.
enum.contract_term_base.action_at_term_end.name.renew_once,Avbrytes ved slutten av neste kontraktperiode,Cancels at end of next contract term,"Used when you want to renew the contract term just once. Does the following: <li>Contract term completes and a new contract term is started for the number of billing cycles specified in <a href=""subscriptions#create_subscription_for_customer_contract_term_billing_cycle_on_renewal""><code>contract_billing_cycle_on_renewal</code></a>.</li><li>The <code>action_at_term_end</code> for the new contract term is set to <code>cancel</code>.</li></ul>"
enum.transaction_failure_reason.name.invalid_payment_method,Ugyldig betalingsmetode,Invalid Payment Method,Invalid Payment Method
enum.credit_note_base.status.name.refund_due,Refusjon skyldes,Refund Due,"When the credits are yet to be used, or have been partially used."
enum.payment_method_base.type.name.direct_debit,Direkte Debet,Direct Debit,Represents bank account for which the direct debit or ACH agreement/mandate is created.
enum.transaction_base.payment_method.name.venmo,Venmo,Venmo,Venmo <span isMicro='true' featureId='cb-venmo'></span>
enum.quote_base.status.name.converting,Konvertering,Converting,Converting
enum.payment_method_base.type.name.sepa_credit,SEPA-kreditt,SEPA Credit,Payments made via SEPA Credit Transfer.
enum.line_item_base.type.name.plan_setup_charge,Oppsettavgift for plan,Plan Setup Charge,Plan Setup Charge
enum.transaction_failure_reason.name.cvv_issue,CVV-problem,CVV issue,CVV issue
enum.item_price_base.period_unit.name.week,Uke,Week,A period of 7 days.
enum.transaction_base.payment_method.name.wechat_pay,WeChat Pay,WeChat Pay,WeChat Pay
enum.line_item_base.type.name.charge,Ladning,Charge,Charge
enum.line_item_base.type.name.addon_charge,Tilleggskostnad,Addon Charge,Addon Charge
enum.quote_base.status.name.invoiced,Fakturert,Invoiced,Invoiced
enum.credit_note_base.reason_code.name.subscription_cancellation,Avbestilling av abonnement,Subscription Cancellation,This reason will be set automatically for Credit Notes created during cancel subscription operation
enum.public_card_error_code.name.gw_invalid_configuration,En feil oppstod under behandlingen av kortet ditt. Vennligst kontakt kundestøtte,An error occured while processing your card. Please contact support.,An error occured while processing your card. Please contact support.
enum.transaction_base.payment_method.name.amazon_payments,Amazon-betalinger,Amazon Payments,Amazon Payments
enum.line_item_base.type.name.plan_item_price,Planlagt varepris,Plan Item Price,Plan Item Price
enum.public_card_error_code.name.amz_agreement_rejected,Kan ikke bruke Amazon-kontoen din. Vennligst velg en annen betalingsmetode,Unable to use your amazon account. Please select a different payment method.,Unable to use your amazon account. Please select a different payment method.
enum.credit_note_base.reason_code.name.other,Annen,Other,Can be set when none of the above reason codes are applicable
