key,value,reference value,description
error.column.base_money.numeric,skulle være et nummer,should be a number,
error.invalid_expiry_info,ugyldig utløpsinfo,invalid expiry info,
error.column.number.allow_negative,skulle ikke være negativ,should not be negative,
error.column.email.main,bør være en gyldig e-post," should be a valid email",
error.column.number.range.min_max,bør være innenfor området %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,skal ikke overstige %{max},should not exceed %{max},
error.atleast_today,Burde være minst i dag,Should be atleast today,
error.column.base_money.range.min,bør være minst %{min},should be atleast %{min},
error.column.base_money.main,ugyldig valutaformat," invalid currency format",
error.date_format,ugyldig datoformat,invalid date format,
error.column.integer.strict_int,Desimalverdier er ikke tillatt,decimal values are not allowed,
error.column.data.format_spaces,Ugyldig datoformat," Invalid date format",
error.register_for_gst_should_be_enabled,Dette er obligatorisk,This is mandatory,
error.column.base_money.range.min_max,bør være innenfor området %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,skulle være et tall,should be a number,
error.vat_number_cannot_be_blank,MVA-nummer kan ikke være tomt,VAT Number cannot be empty,
error.column.number.range.max,skal ikke overstige %{max},should not exceed %{max},
error.column.string.length.min,skulle hatt minst %{min} tegn," should have atleast %{min} characters",
error.invalid_cvv,ugyldig CVV,invalid CVV,
error.column.number.range.min,bør være minst %{min},should be atleast %{min},
error.column.string.length.max,bør ikke ha mer enn %{max} tegn," should not have more than %{max} characters",
error.presence,kan ikke være tom,cannot be blank,
error.wrong_format,Skal være i %{regex} format,Should be in %{regex} format,
error.column.string.length.fixed_length,bør være på %{min} tegn," should be of %{min} characters",
error.column.string.length.min_max,bør være mellom %{min} og %{max} tegn," should be between %{min} and %{max} characters",
error.column.color.main,ugyldig hex fargekode,invalid hex color code,
error.password.format,"Passordet ditt må være minst 8 tegn langt og inneholde et heltall, et alfabet og et spesialtegn","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.card_number,ugyldig kredittkortnummer,invalid credit card number,
error.column.uniqueness,%{column_name} finnes allerede,%{column_name} already exists,
