key,value,reference value,description
hp.portal.mark.backup,Merk som sikkerhetskopi,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week,Uker,%{period} Weeks,2 Weeks
hp.portal.powered_by,Powered by,Powered by,Powered by chargebee
action_error.post,Det oppstod feil under innsending,There were errors while submitting,There were errors while submitting
hp.change_link,Endring,Change,Change link
hp.portal.invoice.showing,Viser,Showing,Showing invoice label
hp.portal.chargebee_secure,Chargebee Sikker Betaling,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.mark.primary,Merk som primær,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card,%{card_type} kort,%{card_type} card,Visa Card
hp.amazon.desc,Betal trygt ved å bruke informasjonen på din Amazon-konto,Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Fjern sikkerhetskopi,Remove Backup,Unmarking a payment method as Backup
hp.clientjs.successful_signup,Du har vellykket registrert deg for tjenesten,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,SKATT (ENNÅ IKKE BEREGET),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Omdirigerer til PayPal...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,for %{no_of_terms} vilkår,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.portal.payment_method_role.primary,Primær,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,PayPal Express Checkout-konto,PayPal Express Checkout account,PayPal Express Checkout account
hp.portal.ach_agree_details1,"Jeg (vi) gir herved %{merchant_name} fullmakt til å trekke penger fra min (vår) konto i den angitte finansinstitusjonen, og kreditere pengene. Jeg (vi) gir %{merchant_name} fullmakt til å gjøre alt som er nødvendig for å rette opp eventuelle feil","I (We) hereby authorize and request %{merchant_name} to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize %{merchant_name} to take any and all action required to correct any errors.","I (We) hereby authorize and request Chargebee to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize Chargebee to take any and all action required to correct any errors."
hp.portal.ach_agree_details2,"Ved å klikke på knappen nedenfor, bekrefter du at informasjonen du har gitt i denne ACH Debit Authorization Agreement for Direct Payments er fullstendig, sann og innsendt for det valgte formålet ovenfor. Det vil forbli i kraft til jeg (vi) varsler %{merchant_name} om at jeg (vi) ønsker å tilbakekalle denne autorisasjonen ved å kontakte %{merchant_email} eller %{merchant_phone}","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above. It will remain in effect until I (we) notify %{merchant_name} that I (we) wish to revoke this authorization by contacting %{merchant_email} or %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above.  It will remain in effect until I (we) notify Chargebee that I (we) wish to revoke this authorization by contacting sam@example.com or 9898982345."
hp.bank_account.desc,Bankkonto,Bank Account,Bank Account label
hp.gocardless.redirect,Omdirigerer til Direkte Debet Leverandør,Redirecting to Direct Debit Provider...,Redirecting to Direct Debit Provider... - info
hp.billing_period.year,År,%{period} Years,2 Months
hp.copied,Kopiert,Copied,Copied URL
hp.portal.account,Konto,Account,Account user account label
hp.error.invalid_abn_number,Ugyldig ABN,"Invalid ABN ",Invalid ABN
hp.paypal.desc,"Den tryggere, enklere måten å betale på","The safer, easier way to pay","The safer, easier way to pay - one liner for paypal gateway payments"
hp.portal.bank_account,bankkonto,bank account,bank account label
hp.clientjs.cannot_be_blank,kan ikke være tom,cannot be blank,cannot be blank
hp.portal.signed_up,Registrert den %{date},Signed up on %{date},Account signed up on 12-03-2016
payment_method.info.card,kort som slutter med %{last4_digits},card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit,"%{bank_name}, kontonummer som slutter med %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.payment_method_role.backup,Sikkerhetskopi,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Opprett direkte trekk,Set up Direct Debit,Set up Direct Debit - gateway label
hp.apple_card_ending,Kort som slutter på ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,Du har vellykket oppdatert dine kortdetaljer,you have successfully updated your card details.,you have successfully updated your card details.
hp.card_ending,%{card_type} kort som slutter på ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.submit_error,Det oppstod feil under innsending,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,Problem under behandling av skjemaet ditt. Vennligst bekreft detaljene i skjemaet ditt,Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.date,Dato,Date,Date
hp.error.undetermined_vat_number,Kunne ikke validere MVA-nummer da VIES-tjenesten er utilgjengelig,Could not validate VAT number as VIES service is unavailable.,Could not validate VAT number as VIES service is unavailable.
apple_pay.label.charges,GEBYRER,CHARGES,Label for main line item amount
payment_method.info.amazon_payments,Amazon Payments-konto,Amazon Payments account,Amazon Payments account
hp.clientjs.invalid_coupon_code,Ugyldig kupongkode,Invalid coupon code,Invalid coupon code
hp.error.undetermined_abn_number,Kan ikke behandle ABN da ABN Lookup-serveren er nede,Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
hp.portal.ach_agreement,ACH-autorisasjonsavtale,ACH Authorization Agreement,ACH Authorization Agreement - Agreement label
hp.error.invalid_vat_number,Ugyldig MVA-nummer,Invalid VAT Number,Invalid VAT Number
hp.portal.manage,Administrere,Manage,Portal account Manage label
hp.billing_period.month,Måneder,%{period} Months,2 Months
action_error.get,Det oppstod feil under behandlingen av forespørselen din,There were errors while processing your request,There were errors while processing your request
apple_pay.label.discount,RABATTER,DISCOUNTS,Label for discount amount
hp.update_payment_method.details,Oppdaterer detaljene for betalingsmetoden,Updating the payment method details...,Updating the payment method details...
payment_method.info.direct_debit_no_bank_name,bankkontonummer som slutter med %{last4_digits},bank account number ending with %{last4_digits},
hp.copy,Kopier,Copy,Copy URL
