key,value,reference value,description
minimal.card.page_heading,Takk for at du oppdaterte betalingsmetode detaljene dine!,Thank you for updating your payment method details!,Thank you for updating your payment method details!
rhapsody.header.title,Min fantastiske abonnementstjeneste,My awesome subscription service,My awesome subscription service
minimal.checkout.page_title,Til kassen,Checkout,Checkout
elegant.checkout.page_heading,Takk for at du abonnerer!,Thank you for subscribing!,Thank you for subscribing!
inspire.portal.page_title,Kundeportal,Customer Portal,Customer Portal
rhapsody.footer.content,Alle rettigheter reservert. Opphavsrett &copy; 2015,All Right Reserved. Copyright &copy; 2015.,All Right Reserved. Copyright &copy; 2015.
elegant.customer_portal.page_title,Kundeportal,Customer Portal,Customer Portal
rhapsody.thankyou.page_heading,Du har registrert deg vellykket!,You've successfully signed up!,You've successfully signed up!
elegant.checkout.aside_content,<h4>Vi verdsetter ditt personvern.</h4><p>Vi vil ikke selge eller distribuere din kontaktinformasjon. Les vår personvernpolicy.</p><hr><h4>Fakturaforespørsler</h4><p>Nøl ikke med å kontakte vår kundeservice hvis du har noen spørsmål.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
minimal.footer.content,Alle rettigheter reservert. Opphavsrett &copy; 2015,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.header.title,Min fantastiske abonnementstjeneste,My awesome subscription service,My awesome subscription service
minimal.header.title,Min fantastiske abonnementstjeneste,My awesome subscription service,My awesome subscription service
minimal.thankyou.content,Kontoinformasjonen din er sendt til e-postadressen din,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.page_heading,Takk for at du oppdaterte betalingsmetode detaljene dine!,Thank you for updating your payment method details!,Thank you for updating your payment method details!
inspire.thankyou.content,<div class='text-center'><h3>Du har registrert deg!</h3><p>Kontoopplysningene dine er sendt til e-postadressen din.</p></div>,<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>,<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>
minimal.checkout.page_heading,Takk for at du abonnerer!,Thank you for subscribing!,Thank you for subscribing!
rhapsody.thankyou.page_title,Takk,Thank You,Thank You
elegant.thankyou.content,Kontoinformasjonen din er sendt til e-postadressen din,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.page_title,Oppdater betalingsmetoden din,Update your payment method,Update your payment method
minimal.thankyou.page_heading,Du har registrert deg vellykket!,You've successfully signed up!,You've successfully signed up!
inspire.header.title,Firmanavn,Company Name,Company Name
minimal.thankyou.page_title,Takk,Thank You,Thank You
elegant.thankyou.page_heading,Du har registrert deg vellykket!,You've successfully signed up!,You've successfully signed up!
rhapsody.thankyou.content,Kontoinformasjonen din er sendt til e-postadressen din,Your account information has been sent to your email address.,Your account information has been sent to your email address.
minimal.customer_portal.page_title,Kundeportal,Customer Portal,Customer Portal
inspire.thankyou.page_title,Takk,Thank You,Thank You
minimal.card.aside_content,Vær oppmerksom på at dette kun er en oppdatering av betalingsmetoden din. Vi vil fakturere deg i henhold til din eksisterende faktureringsoppsett,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
elegant.card.aside_content,Vær oppmerksom på at dette kun er en oppdatering av betalingsmetoden din. Vi vil fakturere deg i henhold til din eksisterende faktureringsoppsett,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
minimal.card.page_title,Oppdater betalingsmetoden din,Update your payment method,Update your payment method
rhapsody.card.page_title,Oppdater betalingsmetoden din,Update your payment method,Update your payment method
rhapsody.checkout.page_title,Til kassen,Checkout,Checkout
elegant.checkout.page_title,Til kassen,Checkout,Checkout
rhapsody.customer_portal.page_title,Kundeportal,Customer Portal,Customer Portal
elegant.footer.content,Alle rettigheter reservert. Opphavsrett &copy; 2015,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.thankyou.page_title,Takk,Thank You,Thank You
inspire.card.page_title,Oppdater betalingsmetoden din,Update your payment method,Update your payment method
inspire.checkout.page_title,Til kassen,Checkout,Checkout
minimal.checkout.aside_content,<h4>Vi verdsetter ditt personvern.</h4><p>Vi vil ikke selge eller distribuere din kontaktinformasjon. Les vår personvernpolicy.</p><hr><h4>Fakturaforespørsler</h4><p>Nøl ikke med å kontakte vår kundeservice hvis du har noen spørsmål.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
