key,value,reference value,description
sort_param_order_invalid,Den angitte sorteringsrekkefølgen {0} er ugyldig,The specified sort order {0} is invalid,The specified sort order {0} is invalid
updgrade_api_err_msg,{0},{0},{0}
found_card_pattern,{0},{0},{0}
ILLEGAL_DOMAIN,{0} domene er ikke tillatt,{0} domain is not allowed,{0} domain is not allowed
param_fixed_size_error,Størrelsen skal være {0},The size should be of {0},The size should be of {0}
multipart_post,Kan ikke sette multipart for annet enn postmetode,Cannot set multipart for other than post method,Cannot set multipart for other than post method
ILLEGAL_DNS,Domenet løser til intern ip-adresseområde som ikke er tillatt,The domain resolves to internal ip address range which is not allowed.,The domain resolves to internal ip address range which is not allowed.
param_not_supported,{0},{0},{0}
mustache_not_allowed,Bartetagger er ikke tillatt,mustache tags are not allowed,mustache tags are not allowed
UNKNOWN_HOST,Kan ikke løse {0} domene,"Unable to resolve {0} domain ","Unable to resolve {0} domain "
file_size_limit_exceeded,Opplastingsfilens størrelse kan ikke overstige {0},Upload file size cannot exceed {0},Upload file size cannot exceed {0}
param_lesser_error,Det bør være minst {0}.,It should be atleast {0},It should be atleast {0}
should_be_valid_date,feil datoformat,wrong date format,wrong date format
image_scrambled,Opplastet bilde er forstyrret,Uploaded image is scrambled.,Uploaded image is scrambled.
param_cannot_exceed,{0},{0},{0}
param_should_not_be_blank,kan ikke være tom,cannot be blank,cannot be blank
not_in_allowed_values,ikke i tillatte verdier,not in allowed values,not in allowed values
size_limit_exceeded,{0} bør ikke være mer enn {1} tegn,{0} should not be more than {1} characters,{0} should not be more than {1} characters
param_size_exceeded_error,Størrelsen bør ikke være mer enn {0},The size should not be more than {0},The size should not be more than {0}
param_should_be_blank,skulle være blank,should be blank,should be blank
param_required,kan ikke være tom,cannot be blank,The parameter is not sent or is empty. Incase you are getting the  parameter's value from the user then it is better to do validation  for mandatory fields on your end rather than passing it to ChargeBee and then handling the error.
resource_not_unique,{0} ressursen eksisterer allerede,{0} resource already exists,{0} resource already exists
duplicate_param_should_not_be_sent,{0},{0},This should be used when you encounter a single parameter's value provided more than once in the request.
ILLEGAL_DOMAIN_SUFFIX,{0} domenesuffiks er ikke tillatt,{0} domain suffix is not allowed,{0} domain suffix is not allowed
param_invalid_msg,You didn't provide any text to translate,{0},{0}
validate.param_not_unique,Verdien {0} er allerede til stede,The value {0} is already present.,The value {0} is already present.
UNSUPPORTED_PORT,"Bare [443, 80, 8443, 8080, 9001] porter er tillatt"," Only [443, 80, 8443, 8080, 9001] ports are allowed"," Only [443, 80, 8443, 8080, 9001] ports are allowed"
timestamp_future_only_or_zero,Unix-tidsstempel bør være i fremtiden eller null for å indikere umiddelbar,Unix timestamp should be in future or zero to indicate immediate,Unix timestamp should be in future or zero to indicate immediate
params_required,You didn't provide any text to translate,{0},Parameters for the resource is required.
wrong_format_pattern,Skal være i {0} format,Should be in {0} format,Should be in {0} format
currency_mismatched,{0},{0},{0}
ip_address_not_supported,Ingen støtte for IP-adresse,No support for Ip address,No support for Ip address
should_be_valid_input,skulle være en gyldig inndata,should be a valid input,should be a valid input
amount_overflow,Beløpet som behandles {0},Amount that is being processed {0},Amount that is being processed {0}
param_should_not_be_sent,{0},{0},The parameter should not be sent. Should occur only during development phase.
wrong_value,feil verdi,wrong value,wrong value
upload_error,Feil under opplasting av fil,Error while uploading file,Error while uploading file
mcp_api_v1_err,Oppgradering til API V2 er nødvendig ettersom MCP er aktivert,Upgrade to API V2 is needed as MCP is enabled,Upgrade to API V2 is needed as MCP is enabled
param_value_lesser_error,Det bør være minst {0},It should be atleast {0},It should be atleast {0}
param_exceeded_error,Det bør ikke være mer enn {0},It should not be more than {0},It should not be more than {0}
not_an_image,Opplastet fil skal være et bilde,Uploaded file should be an image.,Uploaded file should be an image.
EMPTY_SCHEME,URL-en skal starte med http:// eller https:// protokoll,URL should start with http:// or https:// protocol,URL should start with http:// or https:// protocol
validate.mul_sub_entry,Kunden {0} har allerede et abonnement,The customer {0} already has a subscription.,The customer {0} already has a subscription.
invalid_range,første verdi {0} bør ikke være mer enn andre verdi {1},first value {0} should not be more than second value {1},first value {0} should not be more than second value {1}
timestamp_future_only,Unix-tidsstempel skal være i fremtiden,Unix timestamp should be in future,Unix timestamp should be in future
param_wrong_value,Verdien {0} angitt for denne parameteren er feil,Value {0} specified for this param is incorrect,The returned parameter has incorrect value
timestamp_past_only,Unix-tidsstempel skal være i fortiden,Unix timestamp should be in past,Unix timestamp should be in past
param_invalid,Verdien {0} er ugyldig,The value {0} is invalid,The value {0} is invalid
UNSUPPORTED_SCHEME,{0} støttes ikke. Kun http og https støttes,{0} is not supported. Only http and https are supported,{0} is not supported. Only http and https are supported
charge_not_more_than_zero,Beløpet som skal belastes bør være mer enn null,Amount to charge should be more than zero,Amount to charge should be more than zero
email_cannot_be_empty,E-postfeltet kan ikke være tomt,Email field cannot be empty,Email field cannot be empty
email_not_in_allowed_size_range,Størrelsen på e-post-ID bør ikke være mer enn {0},Email id size should not be more than {0},Email id size should not be more than {0}
duplicate_addon_entry,Duplisert tilleggsprogramoppføring er ikke tillatt,Duplicate addon entry is not allowed.,Duplicate addon entry is not allowed.
filter_param_operator_invalid,Den angitte filteroperatøren {0} er ugyldig,The specified filter operator {0} is invalid,The specified filter operator {0} is invalid
param_size_lesser_error,Størrelsen bør være minst {0},The size should be atleast {0},The size should be atleast {0}
no_change_for_i18n,Pakken er tom,Pack is empty,Pack is empty
NO_EMPTY_SCHEME,"Oppgi domenet uten protokollen (http, https)","Provide the domain without the protocol (http, https)","Provide the domain without the protocol (http, https)"
wrong_format,feil format,wrong format,wrong format
emoji_chars_not_allowed,Verdien {0} er ugyldig,The value {0} is invalid,The value {0} is invalid
