key,value,reference value,description
should_be_auth,"Beklager, du må være logget inn for å se denne siden","Sorry, you must be logged in to view this page","Sorry, you must be logged in to view this page"
service_unavailable,"Beklager, denne operasjonen kan ikke utføres på grunn av høy belastning. Vennligst prøv igjen om noen minutter",Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes
cannot_be_empty_or_null,Nøkkelverdi kan ikke være tom eller null,Key value cannot be empty or null,Key value cannot be empty or null
suffix_not_allowed,"""{0}"" suffiks er ikke tillatt","""{0}"" suffix is not allowed","""{0}"" suffix is not allowed"
session_timeout,Du er logget ut av portalen. Vennligst logg inn igjen,You are logged out of the portal. Please login again.,You are logged out of the portal. Please login again.
hosted_page_succeeded,Din bestilling er allerede sendt inn vellykket,Your order has already been submitted successfully.,Your order has already been submitted successfully.
web.mul_sub_entry,Vent litt! Du har allerede abonnert,Hold up! You have subscribed already,Hold up! You have subscribed already
size_exceeds,"Beklager, størrelsen på den opplastede filen kan ikke overstige {0}","Sorry, uploaded file size cannot exceed {0}","Sorry, uploaded file size cannot exceed {0}"
bad_request,"Beklager, URL-en eller noen av parametrene er ikke gyldige","Sorry,the URL or the some of the parameters are not valid","Sorry,the URL or the some of the parameters are not valid"
site_already_exists,nettstedet eksisterer allerede,site already exists,site already exists
invalid_state,{0},{0},{0}
round_off_not_supported,Avrunding av fakturabeløp støttes ikke for valutaer med null desimaler,Rounding off of invoice amount is not supported for zero-decimal currencies,Rounding off of invoice amount is not supported for zero-decimal currencies
update_card_null,URL-en som ble oppgitt for å oppdatere kredittkortet ditt er ugyldig. Vennligst sjekk URL-en og prøv igjen,The URL entered to update your credit card is invalid. Please check the URL and try again.,The URL entered to update your credit card is invalid. Please check the URL and try again.
hosted_page_failed,En feil oppstod under behandlingen. Vennligst prøv igjen senere,An error occurred during processing. Please try again later.,An error occurred during processing. Please try again later.
