key,value,reference value,description
invoice.label.installment_summary,%{installment_amount} ble planlagt betalt i %{number_of_installments} avdrag:,%{installment_amount} was scheduled to be paid in %{number_of_installments} installments:,Installment summary for an invoice
invoice.branding.test_label,Dette er en eksempel faktura generert av Chargebee,This is a sample invoice generated by Chargebee,Logo in an invoice
invoice.label.invoice_amount,Fakturabeløp,Invoice Amount,Invoice amount label
invoice.branding.cb_name,Chargebee,Chargebee,Compay name
invoice.label.payment_terms,Betalingsvilkår,Payment Terms,Net D payment terms label shown in invoice
invoice.label.id,ID,ID,Subscription id label
invoice.taxes_withheld_recorded,En skattebeløp på %{amount_withheld} trukket av kunden ble registrert mot fakturabeløpet,A tax amount of %{amount_withheld} withheld by the customer was recorded against the invoice due amount,indicates tax withheld recorded for this invoice
invoice.header.label.unit_price,Enhetspris,Unit Price,Unit price is the heading under which the cost per unit of the product comes
invoice.payment_inprogress,%{inv_amount} betaling ble initiert den %{inv_date},%{inv_amount} payment was initiated on %{inv_date},indicates that the payment was initiated along with the date
invoice.payment_terms.net_prefix,Netto %{days},Net %{days},"To indicate the patment term prefix. Ex, Net 15, Net 30"
invoice.customer_email.request_card,Oppdater betalingsmetoden din,Update your payment method details,Email subject that prompts the customer to enter the payment method details
invoice.label.invoice,Faktura,Invoice,Invoice number label
invoice.label.installment_scheduled_status,PLANLAGT,SCHEDULED,Installment in SCHEDULED status
invoice.label.amount_due,Forfalt beløp,Amount Due,Amount that needs to be paid
invoice.header.label.units,Enheter,Units,Heading under which the number of units of the product purchased comes
invoice.payment_terms.due_upon_receipt,Forfalt ved mottak,Due Upon Receipt,"To indicate the Zero net terms "
invoice.header.label.amount,Beløp,Amount,The amount that needs to be paid
invoice.label.installment_not_paid_status,IKKE BETALT,NOT PAID,Installment in NOT PAID status
invoice.label.tax.inclusive_of_vat,inkl. MVA,incl. VAT,VAT Inclusive -  inclusive of all taxes
invoice.label.due_date,Forfallsdato,Due Date,Invoice Due date label
invoice.sub.billing_period,%{from_date} til %{to_date},%{from_date} to %{to_date},3rd sept to 22 Oct
invoice.label.tax_details,Skattedetaljer,Tax Details,tax details label
invoice.label.credits,Kreditter,Credits,The store credits used in the invoice
invoice.label.tax_withheld,Trukket skatt,Tax Withheld,Amount Withheld made
invoice.label.billing_period,Faktureringsperiode,Billing Period,Billing period label
invoice.label.vat_exemption_note,MVA unntaksnotat,VAT Exemption Note,"A label below which is a note, that describes why VAT has been excempted for the customer"
invoice.inclusive_tax_multi.desc,Inkludert skatter (%{total_amount}),Inclusive of taxes (%{total_amount}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.label.vat_details,MVA-detaljer,Vat Details,VAT details label which is shown in vat incl invoices
invoice.label.installment_disclaimer,**Enhver ikke-planlagt betaling justeres mot et kommende avdrag bare på den planlagte datoen.,**Any unscheduled payment is adjusted against an upcoming installment only on the installment’s scheduled date.,A disclaimer for installment details present for an invoice
invoice.header.label.discounts,Rabatt,Discount,Discount label
invoice.inclusive_tax_single.desc,Inkludert %{tax_description} (%{total_amount}),Inclusive of %{tax_description} (%{total_amount}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.round_off,Avrunding,Round Off,Round off - invoice amount is rounded off to a whole number
invoice.header.label.sub_total,Subtotal,Sub Total,Sub total
invoice.label.transfer_details,Overføringsdetaljer,Transfer Details,Transfer Details label
invoice.label.tax.inclusive_of_tax,inkl. skatt,incl. Tax,Tax Inclusive -  inclusive of all taxes
invoice.label.invoice_date,Fakturadato,Invoice Date,invoice date label
invoice.payment_succeeded,%{inv_amount} ble betalt den %{inv_date},%{inv_amount} was paid on %{inv_date},The date at which the invoice was paid
invoice.label.payment_status.initiated,Betaling initiert,Payment Initiated,Payment initiated for an invoice text
invoice.label.installment_payment_description,som en del av avdragsplanen," as part of the installment schedule.",Description for the payments done via Installments
invoice.label.tax.vat,MVA,VAT,VAT -  is the tax description
invoice.label.include,Inkluderer,Includes,includes
invoice.label.tax.exclusive_of_vat,ekskl. MVA,excl. VAT,VAT Exclusive - exclusive of taxes
invoice.label.notes,Notater,Notes,Any invoice notes that need to be displayed
invoice.title.subscription,Abonnement,Subscription,Subscription sub heading
invoice.title.billed_to,Fakturert til,Billed To,Billed to label - Under this comes the billing address of the customer
invoice.label.payments,Betalinger,Payments,Payments made
invoice.label.cust_id,Kunde-ID,Customer ID,Customer id label
tax.rate.description,%{tax_name} @ %{rate},%{tax_name} @ %{rate},GST @ 5%
invoice.header.label.description,Beskrivelse,Description,Table heading under which the product description comes
invoice.discount.description,%{discount} rabatt,%{discount} off,description for the discount
invoice.label.adjustments,Justereringer,Adjustments,"The adjustments made to the invoice "
invoice.label.sub_total,Subtotal,Sub Total,Sub total
invoice.label.next_billing_date,Neste faktureringsdato,Next Billing Date,Next billing date label
invoice.label.tax.tax,Skatt,Tax,tax
invoice.inclusive_tax_single_with_tax_in_loc_currency.desc,Inkludert %{tax_description} %{total_amount}(%{tax_in_loc_currency}),Inclusive of %{tax_description} %{total_amount}(%{tax_in_loc_currency}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.cust,Kunde,Customer,Customer label
invoice.label.cust_vat,MVA,VAT,VAT number label
invoice.title.shipped_to,Sendt til,Shipped To,Shipped to label - Under this comes the shipping address of the customer
invoice.label.tax.exclusive_of_tax,ekskl. skatt,excl. Tax,Tax Exclusive - exclusive of taxes
invoice.label.installment_paid_status,BETALT,PAID,Installment in PAID status
invoice.label.exemption_note,Fritaksnotat,Exemption Note,"A label below which is a note, that describes why tax has been exempted for the customer"
invoice.label.total,Totalt,Total,Total
invoice.label.po_number,PO,PO,Purchase order number label
invoice.label.tax.exclusive,ekskl.,"Excl. ",Exclusive - exclusive of taxes
invoice.inclusive_tax_multi_with_tax_in_loc_currency.desc,Inkludert skatter %{total_amount}(%{tax_in_loc_currency}),Inclusive of taxes %{total_amount}(%{tax_in_loc_currency}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.branding.powered_by,Drevet av,Powered by,Logo in an invoice - Powered by Chargebee
invoice.label.tax.inclusive,inkl.,"Incl. ",Inclusive -  inclusive of all taxes
invoice.header.label.price,Pris,Price,Price is the heading under which the cost of the product comes
invoice.label.installment_schedule,Avdragsplan,Installment Schedule,A label for installment details present for an invoice
