key,value,reference value,description
quote.label.quote_amount,Tilbudsbeløp,Quote Amount,Quote amount label
quote.title.subscription,Abonnement,Subscription,Subscription sub heading
quote.term.months,måneder,months,months
quote.label.quote_date,Tilbudsdato,Quote Date,quote date label
quote.label.vat_details,MVA Detaljer,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,år,year,year
quote.label.payment_status.initiated,Betaling initiert,Payment Initiated,Payment initiated for an quote text
quote.label.adjustments,Justeringer,Adjustments,"The adjustments made to the quote "
quote.billing_cycle.12,12. faktureringsperiode,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11. faktureringsperiode,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10. faktureringsperiode,10th billing cycle,10th billing cycle
quote.billing_cycle.23,23. faktureringsperiode,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22. faktureringsperiode,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21. faktureringsperiode,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20. faktureringsperiode,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Faktureringsfrekvens,Billing Frequency,Billing Frequency
quote.billing_cycle.16,16. faktureringssyklus,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15. faktureringsperiode,15th billing cycle,15th billing cycle
quote.billing_cycle.14,14. faktureringsperiode,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13. faktureringsperiode,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19. faktureringsperiode,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18. faktureringsperiode,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17. faktureringsperiode,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30. faktureringsperiode,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34. faktureringsperiode,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33. faktureringsperiode,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32. faktureringsperiode,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31. faktureringsperiode,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27. faktureringsperiode,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26. faktureringsperiode,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25. faktureringsperiode,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24. faktureringsperiode,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29. faktureringsperiode,29th billing cycle,29th billing cycle
quote.billing_cycle.28,28. faktureringsperiode,28th billing cycle,28th billing cycle
quote.billing_cycle.41,41. faktureringsperiode,41st billing cycle,41st billing cycle
quote.billing_cycle.40,40. faktureringsperiode,40th billing cycle,40th billing cycle
quote.billing_cycle.45,45. faktureringsperiode,45th billing cycle,45th billing cycle
quote.billing_cycle.44,44. faktureringsperiode,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43. faktureringsperiode,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,42. faktureringsperiode,42nd billing cycle,42nd billing cycle
