key,value,reference value,description
cbjs_grp.bank,Bank,Bank,Bank
cbjs_grp.select_bank,Velg bank,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Henter liste over støttede banker,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Legg til kontodetaljene dine,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Redigering av kontodetaljer,Editing account details,Editing account details
inapp_checkout.customer.update,Oppdatering,Update,Update
inapp_checkout.customer.next,Neste,Next,Next
inapp_checkout.billing_address.header,Legg til fakturaadressen din,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Redigerer fakturaadresse,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Oppdatering,Update,Update
inapp_checkout.billing_address.next,Neste,Next,Next
inapp_checkout.shipping_address.header,Legg til din leveringsadresse,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Redigerer leveringsadresse,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Oppdatering,Update,Update
inapp_checkout.shipping_address.next,Neste,Next,Next
inapp_checkout.choose_sa.header,Velg leveringsadresse,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Send til min fakturaadresse,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Legg til ny,Add New,Add New
inapp_checkout.payment_method.choose.add,Legg til betalingsmetode,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Legg til betalingsdetaljene dine,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Redigering av betalingsdetaljer,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Velg en betalingsmetode,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Velg en annen betalingsmetode,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Oppdatering,Update,Update
inapp_checkout.payment_method.next,Neste,Next,Next
inapp_checkout.subscription.header,Legg til dine abonnementsdetaljer,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Legg til detaljene for kjøpet ditt,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Redigering av abonnementsdetaljer,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Redigering av kjøpsdetaljer,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Oppdatering,Update,Update
inapp_checkout.invoice.update,Oppdatering,Update,Update
inapp_checkout.subscription.next,Neste,Next,Next
inapp_checkout.invoice.next,Neste,Next,Next
inapp_checkout.review.header,Fullfør bestillingen din,Complete your order,Complete your order
inapp_checkout.pay_review.header,Fullfør bestillingen din,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Betal %{amount} &amp; abonner,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Abonner,Subscribe,Subscribe
inapp_checkout.review.order.header,Ordresammendrag,Order summary,Order summary
inapp_checkout.review.account.header,Konto,Account,Account
inapp_checkout.review.billing.header,Fakturering,Billing,Billing
inapp_checkout.review.shipping.header,Frakt,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Fakturering &amp; Frakt,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Abonnementsdetaljer,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Kjøpsdetaljer,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Betaling,Payment,Payment
inapp_checkout.review.more,Gjennomgå detaljer,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Velg leveringsadresse,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Velg betalingsmetode,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Søk,Apply,Apply
inapp_checkout.coupon.label,Bruk kupong,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,Skriv inn kupongkode,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Rediger bestilling,Edit order,Edit order
inapp_checkout.cart.header,Din bestilling,Your order,Your order
inapp_checkout.cart.next,Fortsett til kassen,Proceed To Checkout,Proceed To Checkout
inapp_checkout.cart.remove,Fjern,Remove,Remove
inapp_checkout.cart.recommended_addon_title,Anbefalte tillegg,Recommended addons,Recommended addons
inapp_checkout.payment_method.card.display_name,Kort,Card,Card
inapp_checkout.payment_method.paypal.display_name,PayPal,PayPal,PayPal
inapp_checkout.thankyou.header,,,
inapp_checkout.thankyou.body,,,
inapp_checkout.thankyou.close,LUKK,CLOSE,CLOSE
inapp_checkout.otp.enter,Skriv inn ditt seks-sifrede engangspassord,Enter your six-digit one time password,Enter your six-digit one time password
inapp_checkout.password.enter,Skriv inn passordet ditt,Enter your password,Enter your password
inapp_checkout.otp.resend,Send engangspassordet på nytt,Resend the one time password,Resend the one time password
inapp_checkout.login.via_otp,Logg inn via engangspassord,Login via one time password,Login via one time password
inapp_checkout.otp.enter_password,Skriv inn passord i stedet,Enter password instead,Enter password instead
inapp_checkout.otp_resend.notify,Ny engangspassord sendt til din e-postadresse,New one time password send to your email address,New one time password send to your email address
inapp_checkout.checkuser.error.multiple_subscriptions_not_allowed,Du har allerede et abonnement hos oss,You already have a subscription with us,You already have a subscription with us
inapp_checkout.otp.guest,Fortsett som gjest,Proceed as guest,Proceed as guest
inapp_checkout.checkuser.email,Skriv inn e-post for å fortsette,Enter email to proceed,Enter email to proceed
inapp_checkout.checkuser.next,Neste,Next,Next
inapp_checkout.modal_button.confirm,Bekreft,Confirm,Confirm
inapp_checkout.modal_button.cancel,Avbryt,Cancel,Cancel
inapp_checkout.po_number.label,PO-nummer,PO Number,PO Number
inapp_checkout.items_in_total.custom_label,,,
inapp_checkout.discounts_applied.label,,,
inapp_checkout.payment_method.bacs.guarantee.header,Tilbake til betaling,Back to Payment,Back to Payment
inapp_checkout.payment_method.bank_account.btn.proceed_to_review,Fortsett til gjennomgang,Proceed to Review,Proceed to Review
inapp_checkout.payment_method.bank_account.btn.enter_iban,Skriv inn IBAN,Enter IBAN,Enter IBAN
inapp_checkout.payment_method.bank_account.btn.enter_local_details,Skriv inn lokale bankdetaljer,Enter local bank details,Enter local bank details
inapp_checkout.payment_method.bank_account.btn.enter_your_name,Skriv inn navnet ditt,Enter your name,Enter your name
inapp_checkout.payment_method.bank_account.btn.enter_company_name,Skriv inn firmanavn,Enter company name,Enter company name
inapp_checkout.card.billing_address,Bruk min fakturaadresse som kortadresse,Use my billing address as card address,Use my billing address as card address
inapp_checkout.card.shipping_address,Bruk min leveringsadresse som kortadresse,Use my shipping address as card address,Use my shipping address as card address
inapp_checkout.item.breakdown.show,Se detaljer,See Details,See Details
inapp_checkout.item.breakdown.hide,Skjul detaljer,Hide Details,Hide Details
inapp_checkout.cart.trial.info,Du vil bli belastet etter %{plan_trial_period} prøveperiode,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.cart.note.plan.trial,Du vil bli belastet etter prøveperioden på %{plan_trial_period},You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.review.note.plan.trial,,,
inapp_checkout.payment_method.note.plan.trial,,,
inapp_checkout.cart.note.plan.no_trial,,,
inapp_checkout.review.note.plan.no_trial,,,
inapp_checkout.payment_method.note.plan.no_trial,,,
inapp_checkout.customer.note,,,
inapp_checkout.subscription.note,,,
inapp_checkout.shipping_address.note,,,
inapp_checkout.billing_address.note,,,
inapp_checkout.cart.pay_now.label,Betal nå,Pay now,Pay now
inapp_checkout.cart.next_charge.label,Neste belastning på %{date},Next charge on %{date},Next charge on %{date}
inapp_checkout.order_summary.charge_now.label,Kan belastes nå,Chargeable now,Chargeable now
inapp_checkout.order_summary.next_charge.label,Gebyrer den %{date},Charges on %{date},Charges on %{date}
inapp_checkout.order.edit.link,Rediger bestilling,Edit order,Edit order
inapp_checkout.estimate_display_screen.header,Din ordresammendrag,Your order summary,Your order summary
inapp_checkout.credits_applied.label,Kreditter anvendt,Credits applied,Credits applied
inapp_checkout.non_rec_addon.tag,ENGANGS,ONE-TIME,ONE-TIME
inapp_checkout.coupon.description,Kupong på %{amount} er brukt,%{amount} coupon applied,%{amount} coupon applied
inapp_checkout.discount.description,Rabatt på %{amount} er anvendt,%{amount} discount applied,%{amount} discount applied
inapp_checkout.free_quantity.description,%{units} enheter gratis,%{units} units free,%{units} units free
inapp_checkout.referral.title,Henvis vennene dine,Refer your friends,Refer your friends
inapp_checkout.referral.cb_reward,Henvis vennene dine og vi vil gi deg %{referral_credits} når de kjøper sitt første abonnement,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.
inapp_checkout.referral.custom_reward,"Henvis vennene dine, og vi vil belønne deg når de kjøper sitt første abonnement",Refer your friends and we will reward you when they purchase their first subscription.,Refer your friends and we will reward you when they purchase their first subscription.
inapp_checkout.referral.friend_discount,Din venn vil få %{referral_friend_discount} rabatt,Your friend will get %{referral_friend_discount} discount.,Your friend will get %{referral_friend_discount} discount.
inapp_checkout.referral.link_label,Din henvisningslenke,Your referral link,Your referral link
inapp_checkout.review.threedsWarning.non_trial,Du kan bli omdirigert til bankens side for 3D-sikkerhetsverifisering,You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
